id,rating,tags
129286,1500,brute force|geometry|implementation|math
129283,1100,greedy|strings
129280,800,implementation
129221,3000,binary search|constructive algorithms|data structures|divide and conquer|flows|graphs|shortest paths
129218,3300,constructive algorithms|graph matchings
129215,2800,combinatorics|dp|math
129212,2400,data structures|dfs and similar|games|graphs|greedy|math|sortings|trees
129209,2200,bitmasks|dfs and similar|dsu|graphs|trees
129206,1600,brute force|graphs|greedy|math
129203,1300,bitmasks|greedy|math
129200,800,greedy|math
129132,2600,binary search|data structures
129131,2300,dp|number theory
129130,2100,dp|number theory
129126,1500,bitmasks|combinatorics|constructive algorithms|dp|math
129123,1000,constructive algorithms|sortings
129120,800,brute force|constructive algorithms|greedy
129055,2600,combinatorics|divide and conquer|fft
129052,2000,dfs and similar|graphs
129049,1900,dp|math
129046,1200,binary search
129043,1000,greedy|implementation|sortings
129040,900,implementation|math
128978,2500,combinatorics|constructive algorithms|greedy|sortings
128975,2800,brute force|dp|greedy|shortest paths
128972,2000,brute force|dp|greedy|probabilities|sortings
128969,1600,math|number theory
128966,1300,binary search|math
128963,900,constructive algorithms|greedy
128960,800,brute force|constructive algorithms
128898,2500,data structures|graph matchings|greedy
128895,1800,binary search|data structures|two pointers
128894,1900,dfs and similar|dp|greedy|shortest paths|trees
128893,1700,dfs and similar|greedy|shortest paths|trees|two pointers
128889,1500,constructive algorithms|trees
128886,1000,constructive algorithms
128883,800,binary search|constructive algorithms|math
128880,800,constructive algorithms|math
128824,3100,games|trees
128821,3100,data structures|dfs and similar|greedy|trees
128818,3300,data structures|greedy|hashing
128815,3000,constructive algorithms|dfs and similar|graphs
128812,2300,binary search|brute force|greedy|implementation|math
128809,2000,combinatorics|dp|math|number theory
128806,1600,binary search|greedy
128803,1100,greedy|two pointers
128800,900,math
128741,3500,
128738,3000,data structures|greedy|math
128735,2800,data structures|divide and conquer|meet-in-the-middle|two pointers
128732,2400,bitmasks|data structures|dp|matrices
128729,1600,dsu|graphs|greedy|implementation|trees
128726,1400,binary search|dp|implementation|number theory|schedules|two pointers
128723,1100,implementation|strings
128720,900,greedy|implementation|math|number theory
128658,3500,binary search|data structures|dfs and similar|hashing|string suffix structures|strings|trees
128655,3200,combinatorics|dp|implementation
128652,2800,binary search|implementation|sortings
128649,2400,combinatorics|fft|graphs|math|number theory
128646,1700,data structures|dfs and similar|dp|graphs|greedy|two pointers
128643,1200,constructive algorithms|greedy
128640,800,constructive algorithms|math
128581,2200,greedy|sortings|two pointers
128578,2200,greedy
128575,2300,brute force|dfs and similar|graphs|implementation
128572,1600,implementation
128569,1300,greedy|math|sortings
128566,1000,brute force|sortings
128563,900,math
128560,800,implementation|strings
128495,2800,brute force|dp|trees
128492,2100,combinatorics|dp|math
128489,2400,brute force|constructive algorithms|implementation|sortings
128486,1400,greedy|number theory
128483,1100,greedy|implementation|math
128480,900,strings
128415,2900,combinatorics|dp
128412,2400,binary search|greedy|implementation|math|number theory|sortings|two pointers
128409,2100,bitmasks|constructive algorithms|dfs and similar|games|greedy|implementation|trees
128406,1400,brute force|greedy|implementation|strings
128403,1000,greedy|sortings
128400,800,math|number theory
128323,1100,
128320,800,greedy
128255,2700,combinatorics|dp|implementation|math
128252,3200,combinatorics|dp|math
128249,3000,divide and conquer|dp|number theory
128246,2300,dp|greedy|math|number theory
128243,1600,constructive algorithms|math|number theory
128240,1300,constructive algorithms|math|number theory
128163,1100,constructive algorithms|implementation
128160,800,implementation
128095,3400,binary search|dfs and similar|math|meet-in-the-middle
128092,2900,data structures|dp|greedy
128089,2700,data structures|dp|greedy|sortings
128086,2300,data structures|divide and conquer|dp|greedy|sortings
128083,1900,data structures|dfs and similar|dp|graphs|shortest paths|two pointers
128080,1300,bitmasks|greedy|math|number theory
128027,1400,bitmasks|dfs and similar
128015,2300,brute force|math|probabilities
128012,1900,games|greedy|two pointers
127947,2600,bitmasks|brute force|greedy
127944,2700,data structures|graphs
127941,2100,interactive|math
127938,2700,brute force|geometry|math|shortest paths
127935,2700,hashing
127932,3200,data structures|matrices
127929,3200,
127926,2000,combinatorics|math|probabilities|ternary search
127923,3100,
127920,2600,constructive algorithms|greedy|two pointers
127858,3200,hashing|math|string suffix structures|strings
127855,2400,binary search|bitmasks|brute force|data structures|dp
127852,2100,brute force|combinatorics|data structures|dfs and similar|dp|implementation|math
127849,1700,combinatorics|data structures|geometry|implementation|math
127846,1200,data structures|dp|implementation|math|two pointers
127843,1000,brute force|implementation
127840,800,brute force|dfs and similar|dp|implementation
127535,2400,constructive algorithms|math
127534,2300,brute force|dp|implementation|math|trees
127533,1300,combinatorics|math
127529,1700,constructive algorithms|dfs and similar|dp|dsu|graphs
127526,1200,brute force|greedy|math|strings
127523,1100,bitmasks|math
127520,800,math
127458,2200,constructive algorithms|data structures|dp|greedy
127455,2100,dfs and similar|dp|implementation|math|meet-in-the-middle
127452,1600,brute force|data structures|dfs and similar|greedy|implementation|trees
127451,1900,brute force|math|number theory
127450,1100,math|number theory
127446,1000,binary search|greedy|greedy
127443,900,dfs and similar|dp|greedy|math|math
127440,800,math
127377,2800,constructive algorithms|flows|graph matchings|greedy
127376,2600,constructive algorithms|greedy
127372,2400,bitmasks|greedy|math|two pointers
127369,2300,binary search|dfs and similar|implementation|interactive|math|number theory|trees
127366,1700,bitmasks|constructive algorithms|dfs and similar|dp|graphs|trees
127363,1200,constructive algorithms|dsu|math|sortings
127360,800,binary search|greedy|math|sortings
127055,3500,binary search|data structures|graphs|two pointers
126904,3500,combinatorics|constructive algorithms|math
126818,2500,dp|games|graphs|trees
126815,2400,combinatorics|dp|math
126812,2400,data structures|dfs and similar|trees
126809,1900,data structures|math
126806,1300,greedy
126803,900,greedy
126800,800,implementation
126738,3200,geometry
126735,2600,bitmasks|dp|graphs|greedy|strings
126732,2300,binary search|data structures|games|greedy
126729,2000,binary search|combinatorics|interactive|math
126726,900,greedy|math|sortings
126723,1000,greedy|math
126720,800,math
126661,3300,data structures|divide and conquer|sortings|trees
126658,3000,data structures|math
126655,2500,bitmasks|constructive algorithms|divide and conquer
126652,2200,constructive algorithms|dfs and similar|graph matchings|graphs|greedy|trees
126649,1800,constructive algorithms|greedy|interactive
126646,1700,data structures|dp
126643,1200,constructive algorithms|trees
126640,800,math|number theory
126578,2600,data structures|number theory
126577,2400,binary search|brute force|dp|greedy|two pointers
126576,1800,bitmasks|dp|greedy
126572,2000,binary search|data structures|dp|greedy|math
126569,1600,constructive algorithms|math
126566,1200,brute force|data structures|greedy|strings|two pointers
126563,900,combinatorics|math
126560,800,math
126483,1200,constructive algorithms|graphs|greedy|math
126480,800,combinatorics|math|number theory
126415,3300,combinatorics|fft|math
126412,3400,brute force|constructive algorithms|data structures|graphs|shortest paths
126409,2900,brute force|divide and conquer|dp|greedy|trees
126406,2200,brute force|data structures|implementation
126403,2600,brute force|combinatorics|dp|trees
126400,1700,brute force|data structures|dp|greedy|implementation
126338,2200,dp
126335,1700,brute force|graphs|math|number theory|shortest paths
126334,1700,data structures|greedy
126333,1000,constructive algorithms|greedy|math
126329,1400,constructive algorithms|graphs|greedy
126326,1500,greedy|implementation
126323,1100,implementation|sortings
126320,800,math|strings
126276,2700,constructive algorithms|interactive|probabilities
126273,2400,binary search|dsu|greedy
126270,2800,brute force|graphs|implementation
126267,3100,brute force|data structures|dfs and similar
126264,3300,geometry|interactive
126261,1700,implementation|strings
126258,3500,math|probabilities
126255,2900,geometry
126252,1200,implementation|math
126249,3200,
126246,3500,
126243,2800,data structures|dsu
126240,2800,constructive algorithms|graphs|shortest paths
126036,2400,data structures|geometry
126033,2100,data structures|divide and conquer|dp|sortings
126030,2200,implementation|math
126027,1500,binary search|brute force|dsu|implementation
126024,2300,data structures|trees
126021,2200,dp|strings
126018,2200,math|number theory
126015,2900,math
126012,2600,data structures|trees
126009,1800,brute force|dfs and similar|dp
126006,3000,data structures|fft|number theory
126003,2300,binary search|geometry
126000,1100,data structures|sortings|strings
